timestamp,power,heat
1615408200,424,6320
1615409100,300,3200
1615410000,2028,3200
1615410900,2733,6320
1615411800,2755,6320
1615412700,2389,5648
1615413600,2703,4944
1615414500,2741,0
1615415400,2723,0
1615416300,2563,0
1615417200,2685,0
1615418100,2734,0
1615419000,2728,0
1615419900,2564,0
1615420800,2721,0
1615421700,2716,0
1615422600,2692,0
1615423500,2543,0
1615424400,3031,0
1615425300,3067,0
1615426200,2679,0
1615427100,2572,0
1615428000,2722,0
1615428900,2595,0
1615429800,2691,0
1615430700,2730,0
1615431600,2569,0
1615432500,2641,0
1615433400,1269,0
1615434300,1444,0
1615435200,431,0
1615436100,348,0
1615437000,405,0
1615437900,901,0
1615438800,417,0
1615439700,420,6320
1615440600,420,6320
1615441500,240,6320
1615442400,417,6128
1615443300,417,5072
1615444200,415,4864
1615445100,417,4848
1615446000,418,4832
1615446900,416,4832
1615447800,416,4832
1615448700,248,4816
1615449600,420,4816
1615450500,418,4816
1615451400,419,4800
1615452300,418,4800
1615453200,421,1728
1615454100,416,0
1615455000,243,0
1615455900,421,0
1615456800,415,0
1615457700,284,0
1615458600,374,0
1615459500,420,0
1615460400,418,0
1615461300,238,0
1615462200,419,0
1615463100,416,0
1615464000,241,0
1615464900,414,0
1615465800,413,0
1615466700,243,0
1615467600,416,0
1615468500,366,0
1615469400,296,0
1615470300,420,0
1615471200,420,0
1615472100,249,0
1615473000,423,0
1615473900,425,0
1615474800,424,0
1615475700,252,0
1615476600,425,0
1615477500,427,0
1615478400,253,0
1615479300,421,0
1615480200,417,0
1615481100,258,0
1615482000,399,0
1615482900,411,0
1615483800,410,0
1615484700,303,0
1615485600,346,0
1615486500,417,0
1615487400,256,0
1615488300,399,0
1615489200,418,0
1615490100,250,0
1615491000,428,0
1615491900,391,0
1615492800,270,0
1615493700,428,2768
1615494600,234,2736
1615495500,430,2720
1615496400,1323,6320
1615497300,1442,6320
1615498200,1478,6256
1615499100,1294,5152
1615500000,1419,4832
1615500900,1271,0
1615501800,2735,0
1615502700,2539,0
1615503600,2708,0
1615504500,2592,0
1615505400,2648,0
1615506300,2705,0
1615507200,2525,0
