timestamp,power_81m41px8v6,power_ss152iu581,soc_ss152iu581,power_ee8b68u2v0,price,power_9907ns428gduplicate,power_208140qdk8duplicate,wind_speed_ee8b68u2v0,price_energy_levies_positive,price_energy_levies_negative,power_9907ns428g,power_208140qdk8
1616577300,,0.0,0.0,0.0,2.88,-492.14285714285717,0.5455921052631577,0.45,0.0,0.18,-492.14285714285717,0.5455921052631577
1616578200,,0.0,0.0,0.0,2.88,-642.8571428571429,0.5843421052631579,0.45,0.0,0.18,-642.8571428571429,0.5843421052631579
1616579100,,0.0,0.0,0.0,2.88,-468.2857142857143,0.6192763157894735,0.45,0.0,0.18,-468.2857142857143,0.6192763157894735
1616580000,,0.0,0.0,0.0,2.88,-448.57142857142856,0.646578947368421,0.45,0.0,0.18,-448.57142857142856,0.646578947368421
1616580900,,0.0,0.0,0.0,2.88,-492.85714285714283,0.6694736842105261,0.45,0.0,0.18,-492.85714285714283,0.6694736842105261
1616581800,,0.0,0.0,0.0,2.88,-432.42857142857144,0.688815789473684,0.45,0.0,0.18,-432.42857142857144,0.688815789473684
1616582700,,0.0,0.0,0.0,2.88,-405.0,0.7051973684210526,0.45,0.0,0.18,-405.0,0.7051973684210526
1616583600,,0.0,0.0,0.0,2.88,-391.57142857142856,0.717828947368421,0.45,0.0,0.18,-391.57142857142856,0.717828947368421
1616584500,,0.0,0.0,0.0,2.88,-361.85714285714283,0.726842105263158,0.45,0.0,0.18,-361.85714285714283,0.726842105263158
1616585400,,0.0,0.0,0.0,2.88,-331.2857142857143,0.7364473684210527,0.45,0.0,0.18,-331.2857142857143,0.7364473684210527
1616586300,,0.0,0.0,0.0,2.88,-361.7142857142857,0.7441447368421052,0.45,0.0,0.18,-361.7142857142857,0.7441447368421052
1616587200,,0.0,0.0,0.0,2.88,-383.85714285714283,0.7434210526315789,0.89,0.0,0.18,-383.85714285714283,0.7434210526315789
1616588100,,0.0,0.0,0.0,2.88,-354.14285714285717,0.7390131578947369,0.89,0.0,0.18,-354.14285714285717,0.7390131578947369
1616589000,,0.0,0.0,0.0,2.88,-385.7142857142857,0.7279605263157893,0.89,0.0,0.18,-385.7142857142857,0.7279605263157893
1616589900,,0.0,0.0,0.0,2.88,-404.42857142857144,0.7045394736842104,0.89,0.0,0.18,-404.42857142857144,0.7045394736842104
1616590800,,0.0,0.0,0.0,2.88,-374.42857142857144,0.6752631578947369,1.34,0.0,0.18,-374.42857142857144,0.6752631578947369
1616591700,,0.0,0.0,0.0,2.88,-474.57142857142856,0.6425000000000001,1.34,0.0,0.18,-474.57142857142856,0.6425000000000001
1616592600,,0.0,0.0,0.0,2.88,-392.14285714285717,0.6087499999999999,1.34,0.0,0.18,-392.14285714285717,0.6087499999999999
1616593500,,0.0,0.0,0.0,2.88,-414.14285714285717,0.5693421052631579,1.34,0.0,0.18,-414.14285714285717,0.5693421052631579
1616594400,,0.0,0.0,0.0,2.88,-412.85714285714283,0.5289473684210526,3.09,0.0,0.18,-412.85714285714283,0.5289473684210526
1616595300,,0.0,0.0,0.0,2.88,-365.14285714285717,0.4884210526315789,3.09,0.0,0.18,-365.14285714285717,0.4884210526315789
1616596200,,0.0,0.0,0.0,2.88,-350.85714285714283,0.44730263157894734,3.09,0.0,0.18,-350.85714285714283,0.44730263157894734
1616597100,,0.0,0.0,0.0,2.88,-323.57142857142856,0.4064473684210526,3.09,0.0,0.18,-323.57142857142856,0.4064473684210526
1616598000,,0.0,0.0,0.0,2.88,-331.14285714285717,0.3657236842105263,3.6,0.0,0.18,-331.14285714285717,0.3657236842105263
1616598900,,0.0,0.0,0.0,2.88,-365.14285714285717,0.32539473684210524,3.6,0.0,0.18,-365.14285714285717,0.32539473684210524
1616599800,,0.0,0.0,0.0,2.88,-366.2857142857143,0.2853947368421052,3.6,0.0,0.18,-366.2857142857143,0.2853947368421052
1616600700,,0.0,0.0,0.0,2.88,-338.57142857142856,0.24638157894736834,3.6,0.0,0.18,-338.57142857142856,0.24638157894736834
1616601600,,0.0,0.0,0.0,2.88,-327.7142857142857,0.20874999999999994,2.57,0.0,0.18,-327.7142857142857,0.20874999999999994
1616602500,,0.0,0.0,0.0,2.88,-316.0,0.17230263157894732,2.57,0.0,0.18,-316.0,0.17230263157894732
1616603400,,0.0,0.0,0.0,2.88,-386.7142857142857,0.13749999999999996,2.57,0.0,0.18,-386.7142857142857,0.13749999999999996
